"Field_Name","Description_En","Description_Fr"
"OBJECID","ArcGIS Field","Identifiant ArcGIS"
"Shape","ArcGIS Field","Identifiant ArcGIS"
"Stratum","A numeric code to identify stratum","Code numérique pour déterminer la strate."
"Mission","A 10 character field to identify the survey","Champ de 10 caractères pour identifier le relevé."
"SurveyYear","Year taken from the SurveyDate","Année à partir de la date du relevé."
"Season","Spring (Jan-Apr), Summer (May-Aug) or Fall (Sept-Dec)","Printemps (de janvier à avril), été (de mai à août) ou automne (de septembre à décembre)."
"SurveyDate","The local date and standard time at the beginning of the tow.","Date et heure standard locales au début du trait."
"SetNumber","Each tow is assigned a numeric set identifier starting with 1 for the first tow and then assigned consecutively.","Un identificateur numérique établi commençant par 1 pour le premier trait est attribué consécutivement à chaque trait."
"Distance_NM","The actual tow distance in nautical miles.","Distance de trait réelle en milles marins."
"Longitude_DD","The longitude at the start of a tow recorded in decimal degrees.","Longitude au début d’un trait enregistrée en degrés décimaux."
"Latiitude_DD","The latitude at the start of a tow recorded in decimal degrees.","Latitude au début d’un trait enregistrée en degrés décimaux."
"Gear","Gear Description","Description de l’engin utilisé."
"SurfaceTemperature_C","Surface Temperature in celsius.","Température de surface en celsius."
"BottomTemperature_C","Bottom Temperature in celsius.","Température au fond en celsius."
"BottomSalinity_PSU","Bottom salinity measured in pounds per square unit.","Salinité au fond mesurée en livres par unité au carré."
"MinimumDepth_Fathoms","The minimum(shallowest) bottom depth, in fathoms.","Profondeur minimale (la moins profonde), en brasses."
"MaximumDepth_Fathoms","The maximum(deepest) bottom depth, in fathoms.","Profondeur maximale (la plus profonde), en brasses."
"Species","DFO Species code.","Code d’espèce du MPO."
"TaxonomicSerialNumber","ITIS Taxonomic Serial Number.","Numéro de série taxonomique du Système d'information taxonomique intégré (SITI)"
"ScientificName","The Scientific Name for this TSN according to ITIS.","Nom scientifique de ce numéro de série taxonomique (TSN) selon le SITI."
"TaxonomicNameAuthor","The author associated with the name according to ITIS.","Auteur associé au nom selon le SITI."
"TotalNumberStandardized","Total Weight of individuals in kgs, standardized by a 1.75 NM tow.","Poids total d’une personne en kg, normalisé par un trait de 1,75 NM."
"TotalWeightStandardized_KG","Total weight in kilograms.","Poids total en kilogrammes."
