Field Name,Type,Definition 
OBJECTID_1,ObjectID,<ArcGIS Field>
Shape,Geometry,<ArcGIS Field>
StnNum,Long,The numeric code to identify the monitoring station.
StnLocation,Text,Location of the monitoring station. 
Latitude,Double,The latitude at the start of a tow recorded in decimal degrees.
Longitude,Double,The longitude at the start of a tow recorded in decimal degrees.
Year_Observed,Long,Year the observation took place. 
FCName,Text,The feature class name of the source data. 
Prov,Text,Two character province indentifier. 
Botrylloides_violaceus,Long,Number representing the percentage of plate coverage range. 0 = no tunicates present. 1 = less than 25%. 2 = 26% to 50%. 3 = 51% to 75%. 4 = 76% to 100%.
Botryllus_schlosseri,Long,Number representing the percentage of plate coverage range. 0 = no tunicates present. 1 = less than 25%. 2 = 26% to 50%. 3 = 51% to 75%. 4 = 76% to 100%.
Ciona_intestinalis,Long,Number representing the percentage of plate coverage range. 0 = no tunicates present. 1 = less than 25%. 2 = 26% to 50%. 3 = 51% to 75%. 4 = 76% to 100%.
sampler,Text,The organization which collected the data.
StnDescription,Text,Description of the survey location. 
StructureType,Text,Structure type of the monitoring station. 
Caprella_mutica,Double,Number representing the percentage of plate coverage range. 0 = no tunicates present. 1 = less than 25%. 2 = 26% to 50%. 3 = 51% to 75%. 4 = 76% to 100%.
Membranipora_membranacea,Double,Number representing the percentage of plate coverage range. 0 = no tunicates present. 1 = less than 25%. 2 = 26% to 50%. 3 = 51% to 75%. 4 = 76% to 100%.
Ascidiella_aspersa,Double,Number representing the percentage of plate coverage range. 0 = no tunicates present. 1 = less than 25%. 2 = 26% to 50%. 3 = 51% to 75%. 4 = 76% to 100%.
Styela_clava,Double,Number representing the percentage of plate coverage range. 0 = no tunicates present. 1 = less than 25%. 2 = 26% to 50%. 3 = 51% to 75%. 4 = 76% to 100%.
Codium_fragiel,Double,Number representing the percentage of plate coverage range. 0 = no tunicates present. 1 = less than 25%. 2 = 26% to 50%. 3 = 51% to 75%. 4 = 76% to 100%.
