date,site,engSiteName_nomSiteAng,shore_côte,latitude,longitude,habitat,gear_équipement,transect,area_m^2,species_espèce,engCommonName_nomCommunAng,TSN,AphiaID,rawAbundance_abondanceBrute,calibratedYOYAbundance_abondanceCalibréeJDA,calibratedDensity_densitéCalibrée_m^-2
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,Bare,S,1,60,Carcinus maenas,Green crab,98734,107381,2,59.145,3.10018375
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,Bare,S,2,60,Carcinus maenas,Green crab,98734,107381,1,90.6,4.74895
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,Bare,S,3,60,Carcinus maenas,Green crab,98734,107381,2,39.195,2.05447125
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,Bare,S,1,60,Crangon septemspinosa,Sand shrimp,97110,158355,1,0.623064516,3.505208706
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,Bare,S,3,60,Crangon septemspinosa,Sand shrimp,97110,158355,1,0.623064516,3.505208706
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,1,30,Apeltes quadracus,Fourspine stickleback,166397,159436,1,1,0.460600907
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,2,30,Apeltes quadracus,Fourspine stickleback,166397,159436,1,1,0.460600907
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,3,30,Apeltes quadracus,Fourspine stickleback,166397,159436,1,1,0.460600907
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,4,30,Apeltes quadracus,Fourspine stickleback,166397,159436,2,2,0.921201814
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,3,30,Cancer irroratus,Rock crab,98679,158057,1,12.07,0.402333333
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,1,30,Carcinus maenas,Green crab,98734,107381,5,47.3,2.301933333
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,2,30,Carcinus maenas,Green crab,98734,107381,3,4.09,0.199046667
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,3,30,Carcinus maenas,Green crab,98734,107381,2,70.65,3.4383
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,4,30,Carcinus maenas,Green crab,98734,107381,3,3,0.146
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,5,30,Carcinus maenas,Green crab,98734,107381,4,96.68,4.705093333
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,1,30,Crangon septemspinosa,Sand shrimp,97110,158355,10,6.230645161,3.038865285
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,2,30,Crangon septemspinosa,Sand shrimp,97110,158355,6,3.738387097,1.823319171
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,3,30,Crangon septemspinosa,Sand shrimp,97110,158355,2,1.246129032,0.607773057
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,4,30,Crangon septemspinosa,Sand shrimp,97110,158355,3,1.869193548,0.911659585
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,5,30,Crangon septemspinosa,Sand shrimp,97110,158355,3,1.869193548,0.911659585
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,2,30,Palaemonetes vulgaris,Grass shrimp,96391,158371,1,0.8,0.08622336
