site,habitat,latitude,longitude,date,species_espèce,abundance_abondance_m^-2,biomass_biomasse_mg/m^2
CableI,Bare,44.74445,-62.79042,2013-07-18,Aricidea (Acmira) catherinae,2499.881678,168.0547638
CableI,Bare,44.74445,-62.79042,2013-07-18,Aricidea (Strelzovia) suecica,11.0160772,1.557951271
CableI,Bare,44.74445,-62.79042,2013-07-18,Buccinidae,11.0160772,2.003854467
CableI,Bare,44.74445,-62.79042,2013-07-18,Capitella sp,32.8482316,1.333516723
CableI,Bare,44.74445,-62.79042,2013-07-18,Chiridotea tuftsii,11.0160772,2.580482054
CableI,Bare,44.74445,-62.79042,2013-07-18,Clymenella torquata,76.51254039,171.7225657
CableI,Bare,44.74445,-62.79042,2013-07-18,Corophiidae,1364.60965,71.96347262
CableI,Bare,44.74445,-62.79042,2013-07-18,Cumacea,120.1768492,10.38294472
CableI,Bare,44.74445,-62.79042,2013-07-18,Cyathura polita,11.0160772,18.85382063
CableI,Bare,44.74445,-62.79042,2013-07-18,Edotia triloba,98.34469479,2.305047594
CableI,Bare,44.74445,-62.79042,2013-07-18,Lacuna vincta,11.0160772,0.678552092
CableI,Bare,44.74445,-62.79042,2013-07-18,Nemertea,43.76430879,1044.855917
CableI,Bare,44.74445,-62.79042,2013-07-18,Nephtys caeca,21.9321544,59.51620819
CableI,Bare,44.74445,-62.79042,2013-07-18,Oligochaeta,11.0160772,0.820461095
CableI,Bare,44.74445,-62.79042,2013-07-18,Paraonis fulgens,2805.53184,113.0704829
CableI,Bare,44.74445,-62.79042,2013-07-18,Parexogone hebes,8405.479443,199.7113877
CableI,Bare,44.74445,-62.79042,2013-07-18,Parvicardium pinnulatum,11.0160772,6.671478473
CableI,Bare,44.74445,-62.79042,2013-07-18,Phoxocephalus holbolli,21.9321544,0.241909004
CableI,Bare,44.74445,-62.79042,2013-07-18,Phylo ornatus,11.0160772,40.76151428
CableI,Bare,44.74445,-62.79042,2013-07-18,Politolana polita,43.76430879,984.6830168
CableI,Bare,44.74445,-62.79042,2013-07-18,Psammonyx nobilis,11.0160772,5.567404593
CableI,Bare,44.74445,-62.79042,2013-07-18,Pygospio elegans,578.6520915,16.56144442
CableI,Bare,44.74445,-62.79042,2013-07-18,Saccoglossus kowalevskii,11.0160772,29.74206183
CableI,Bare,44.74445,-62.79042,2013-07-18,Salemia coeca,5272.565287,69.530541
CableI,Bare,44.74445,-62.79042,2013-07-18,Schistomeringos sp,152.9250808,7.89407912
CableI,Bare,44.74445,-62.79042,2013-07-18,Scoletoma fragilis,32.8482316,119.2786744
CableI,Bare,44.74445,-62.79042,2013-07-18,Scoloplos sp,142.0090036,159.2585888
CableI,Bare,44.74445,-62.79042,2013-07-18,Skeneopsis planorbis,32.8482316,2.097642127
CableI,Bare,44.74445,-62.79042,2013-07-18,Spio filicornis,11.0160772,0.482062702
CableI,Bare,44.74445,-62.79042,2013-07-18,Spiophanes bombyx,32.8482316,20.76413414
CableI,Bare,44.74445,-62.79042,2013-07-18,Spirorbis (Spirorbis) spirorbis,43.76430879,4.117116409
CableI,Bare,44.74445,-62.79042,2013-07-18,Spisula solidissima,76.51254039,38.65456641
CableI,Bare,44.74445,-62.79042,2013-07-18,Stereobalanus canadensis,11.0160772,1.141393765
CableI,Bare,44.74445,-62.79042,2013-07-18,Streptosyllis varians,2216.063671,105.3713737
CableI,Bare,44.74445,-62.79042,2013-07-18,Tellina sp,567.7360143,452.8097022
CableI,Bare,44.74445,-62.79042,2013-07-18,Tharyx acutus,11.0160772,1.19160772
CableI,Bare,44.74445,-62.79042,2013-07-18,Travisia carnea,11.0160772,167.0884726
CableI,Bare,44.74445,-62.79042,2013-07-18,Turbonilla sp,11.0160772,1.051927233
CableI,Bare,44.74445,-62.79042,2013-07-18,Unciola irrorata,43.76430879,3.789634093
CableI,SG,44.74587,-62.79277,2013-07-17,Ampharete arctica,21.9321544,12.70806916
CableI,SG,44.74587,-62.79277,2013-07-17,Amphipholis squamata,32.8482316,56.88543359
CableI,SG,44.74587,-62.79277,2013-07-17,Aricidea (Acmira) catherinae,1910.41351,102.3072308
CableI,SG,44.74587,-62.79277,2013-07-17,Bipalponephtys neotena�,382.1627019,64.18566937
CableI,SG,44.74587,-62.79277,2013-07-17,Capitella sp,65.59646319,5.558038599
CableI,SG,44.74587,-62.79277,2013-07-17,Caprellidae,163.841158,19.30123788
CableI,SG,44.74587,-62.79277,2013-07-17,Clymenella torquata,196.5893896,930.5100079
CableI,SG,44.74587,-62.79277,2013-07-17,Clymenella zonalis,622.3164003,2324.951541
CableI,SG,44.74587,-62.79277,2013-07-17,Corophiidae,403.9948563,14.19265566
CableI,SG,44.74587,-62.79277,2013-07-17,Cumacea,21.9321544,5.363994411
CableI,SG,44.74587,-62.79277,2013-07-17,Eteone longa,32.8482316,17.46747882
CableI,SG,44.74587,-62.79277,2013-07-17,Glycera dibranchiata,11.0160772,150.2178936
CableI,SG,44.74587,-62.79277,2013-07-17,Hardametopa carinata,76.51254039,3.662854773
CableI,SG,44.74587,-62.79277,2013-07-17,Harmothoe extenuata,240.2536984,419.921413
CableI,SG,44.74587,-62.79277,2013-07-17,Harmothoe sp,11.0160772,4.280857567
CableI,SG,44.74587,-62.79277,2013-07-17,Heteromastus filiformis,11.0160772,0.460230548
CableI,SG,44.74587,-62.79277,2013-07-17,Ischyrocerus anguipes,283.9180072,11.52913283
CableI,SG,44.74587,-62.79277,2013-07-17,Lacuna vincta,556.8199371,305.2698542
CableI,SG,44.74587,-62.79277,2013-07-17,Leptocheirus pinguis,21.9321544,35.58511047
CableI,SG,44.74587,-62.79277,2013-07-17,Littorina littorea,11.0160772,428.1739673
CableI,SG,44.74587,-62.79277,2013-07-17,Mediomastus ambiseta,1790.336661,450.5503973
CableI,SG,44.74587,-62.79277,2013-07-17,Microphthalmus sp,65.59646319,1.73741158
CableI,SG,44.74587,-62.79277,2013-07-17,Nemertea,43.76430879,28.55821326
CableI,SG,44.74587,-62.79277,2013-07-17,Nephtys caeca,11.0160772,15.06594184
CableI,SG,44.74587,-62.79277,2013-07-17,Nereididae,11.0160772,0.591223474
CableI,SG,44.74587,-62.79277,2013-07-17,Ninoe nigripes,54.68038599,749.2238756
CableI,SG,44.74587,-62.79277,2013-07-17,Oligochaeta,589.5681687,37.80413064
CableI,SG,44.74587,-62.79277,2013-07-17,Ophelina acuminata,11.0160772,1.660999039
CableI,SG,44.74587,-62.79277,2013-07-17,Orchomenella minuta,54.68038599,8.551510785
CableI,SG,44.74587,-62.79277,2013-07-17,Parexogone hebes,622.3164003,21.451847
CableI,SG,44.74587,-62.79277,2013-07-17,Pherusa affinis,11.0160772,580.2526068
CableI,SG,44.74587,-62.79277,2013-07-17,Pholoe minuta,98.34469479,45.47223823
CableI,SG,44.74587,-62.79277,2013-07-17,Phoxocephalus holbolli,775.1414811,28.48180072
CableI,SG,44.74587,-62.79277,2013-07-17,Phyllodoce maculata,32.8482316,64.86770588
CableI,SG,44.74587,-62.79277,2013-07-17,Polydora cornuta,11.0160772,0.340153698
CableI,SG,44.74587,-62.79277,2013-07-17,Pontogeneia inermis,98.34469479,25.17562658
CableI,SG,44.74587,-62.79277,2013-07-17,Prionospio steenstrupi,21.9321544,12.15156755
CableI,SG,44.74587,-62.79277,2013-07-17,Pygospio elegans,11.0160772,0.274657235
CableI,SG,44.74587,-62.79277,2013-07-17,Schistomeringos sp,54.68038599,9.793476552
CableI,SG,44.74587,-62.79277,2013-07-17,Scoloplos sp,11.0160772,1.628250808
CableI,SG,44.74587,-62.79277,2013-07-17,Sphaerodoridium minutum,21.9321544,2.031927343
CableI,SG,44.74587,-62.79277,2013-07-17,Testudinalia testudinalis,11.0160772,9.553322854
CableI,SG,44.74587,-62.79277,2013-07-17,Tritia trivittata,21.9321544,154.7262335
CresB,Bare,44.23691,-64.39926,2013-06-24,Acteocina canaliculata,65.59646319,24.07170553
CresB,Bare,44.23691,-64.39926,2013-06-24,Aricidea (Acmira) catherinae,11.0160772,1.748327657
CresB,Bare,44.23691,-64.39926,2013-06-24,Bittiolum alternatum,11.0160772,3.549480395
CresB,Bare,44.23691,-64.39926,2013-06-24,Capitella sp,76.51254039,4.575591651
CresB,Bare,44.23691,-64.39926,2013-06-24,Ecrobia truncata�,21.9321544,0.394734084
CresB,Bare,44.23691,-64.39926,2013-06-24,Gemma gemma,1506.518653,105.6912147
CresB,Bare,44.23691,-64.39926,2013-06-24,Hypereteone heteropoda,11.0160772,2.305047594
CresB,Bare,44.23691,-64.39926,2013-06-24,Leitoscoloplos sp ,65.59646319,4022.13956
CresB,Bare,44.23691,-64.39926,2013-06-24,Lyonsia hyalina,11.0160772,17.32996594
CresB,Bare,44.23691,-64.39926,2013-06-24,Mya arenaria,32.8482316,102.8421186
CresB,Bare,44.23691,-64.39926,2013-06-24,Nephtys caeca,32.8482316,105.5274736
CresB,Bare,44.23691,-64.39926,2013-06-24,Oligochaeta,76.51254039,3.462151777
CresB,Bare,44.23691,-64.39926,2013-06-24,Paraonis fulgens,120.1768492,19.8253515
CresB,Bare,44.23691,-64.39926,2013-06-24,Parexogone hebes,425.8270107,11.02699328
CresB,Bare,44.23691,-64.39926,2013-06-24,Platyhelminthes 2,11.0160772,3.625892935
CresB,Bare,44.23691,-64.39926,2013-06-24,Pygospio elegans,196.5893896,7.34827526
CresB,Bare,44.23691,-64.39926,2013-06-24,Saccoglossus kowalevskii,21.9321544,196.785879
CresB,Bare,44.23691,-64.39926,2013-06-24,Spio filicornis,11.0160772,1.26802026
CresB,Bare,44.23691,-64.39926,2013-06-24,Spio setosa,11.0160772,29.98821937
CresB,Bare,44.23691,-64.39926,2013-06-24,Tellina sp,109.260772,38.72108113
CresB,Bare,44.23691,-64.39926,2013-06-24,Unciola irrorata,0.1,0.1
CresB,SG,44.23839,-64.40676,2013-06-24,Acteocina canaliculata,43.76430879,16.84526242
CresB,SG,44.23839,-64.40676,2013-06-24,Amphipholis squamata,98.34469479,118.015193
